time,gFx,gFy,gFz,wx,wy,wz,
6.606537,-0.0339,0.2183,1.0510,0.1012,0.0305,0.7136,
6.664677,-0.0169,0.1352,1.0932,0.1012,0.0305,0.7136,
6.666705,-0.0169,0.1352,1.0932,0.1012,0.0305,0.7136,
6.667809,-0.0169,0.1352,1.0932,0.0122,0.0543,0.5575,
6.723470,-0.0169,0.1352,1.0932,0.2040,0.2083,0.5557,
6.725330,-0.0169,0.1352,1.0932,0.2040,0.2083,0.5557,
6.726261,-0.0027,0.0837,1.1105,0.2040,0.2083,0.5557,
6.782614,-0.0027,0.0837,1.1105,0.2836,0.2291,0.7108,
6.784967,-0.0027,0.0837,1.1105,0.2836,0.2291,0.7108,
6.785962,-0.0312,0.1110,0.9945,0.2836,0.2291,0.7108,
6.841316,-0.0468,0.0839,0.9486,0.2836,0.2291,0.7108,
6.843540,-0.0468,0.0839,0.9486,-0.0255,0.1597,0.5584,
6.845090,-0.0468,0.0839,0.9486,-0.0255,0.1597,0.5584,
6.898554,-0.0515,0.0731,1.0219,-0.0255,0.1597,0.5584,
6.899809,-0.0515,0.0731,1.0219,-0.0255,0.1597,0.5584,
6.958566,-0.0515,0.0731,1.0219,0.0460,0.1801,0.6024,
6.960559,-0.0674,0.0722,1.0243,0.0460,0.1801,0.6024,
6.961804,-0.0674,0.0722,1.0243,0.0460,0.1801,0.6024,
7.018086,-0.0674,0.0722,1.0243,-0.0492,0.2456,0.8249,
7.020535,-0.0450,0.1351,0.9287,-0.0492,0.2456,0.8249,
7.021784,-0.0450,0.1351,0.9287,-0.0492,0.2456,0.8249,
7.075905,-0.0450,0.1351,0.9287,-0.1293,0.0774,0.9165,
7.077797,-0.0450,0.1351,0.9287,-0.1293,0.0774,0.9165,
7.135750,-0.0450,0.1351,0.9287,-0.1536,0.0840,0.8609,
7.137749,-0.0075,0.1555,0.9712,-0.1536,0.0840,0.8609,
7.138951,-0.0075,0.1555,0.9712,-0.1536,0.0840,0.8609,
7.194470,-0.0136,0.1802,1.0040,-0.1536,0.0840,0.8609,
7.196676,-0.0136,0.1802,1.0040,-0.0652,0.1510,0.9185,
7.198022,-0.0136,0.1802,1.0040,-0.0652,0.1510,0.9185,
7.252349,-0.0136,0.1802,1.0040,-0.0968,0.0938,0.9741,
7.254315,-0.0149,0.1954,0.9574,-0.0968,0.0938,0.9741,
7.256032,-0.0149,0.1954,0.9574,-0.0968,0.0938,0.9741,
7.312322,0.0030,0.2089,0.9703,-0.0968,0.0938,0.9741,
7.314014,0.0030,0.2089,0.9703,-0.0326,0.0667,0.9245,
7.315383,0.0030,0.2089,0.9703,-0.0326,0.0667,0.9245,
7.370041,0.0201,0.2006,1.0543,-0.0326,0.0667,0.9245,
7.372406,0.0201,0.2006,1.0543,-0.0326,0.0667,0.9245,
7.430392,0.0201,0.2006,1.0543,-0.0277,-0.0702,0.9570,
7.432690,-0.0085,0.1948,1.1010,-0.0277,-0.0702,0.9570,
7.434302,-0.0085,0.1948,1.1010,-0.0277,-0.0702,0.9570,
7.488328,-0.0085,0.1948,1.1010,0.0803,0.1701,0.9937,
7.490270,-0.0724,0.1166,1.1705,0.0803,0.1701,0.9937,
7.491443,-0.0724,0.1166,1.1705,0.0803,0.1701,0.9937,
7.545792,-0.0724,0.1166,1.1705,0.2195,0.1429,1.0613,
7.546780,-0.0574,0.0720,1.0639,0.2195,0.1429,1.0613,
7.547675,-0.0574,0.0720,1.0639,0.2195,0.1429,1.0613,
7.605714,-0.0574,0.0720,1.0639,0.1705,0.1975,1.1388,
7.607874,-0.0574,0.0720,1.0639,0.1705,0.1975,1.1388,
7.665641,-0.0586,0.0399,0.9578,0.1705,0.1975,1.1388,
7.667448,-0.0586,0.0399,0.9578,0.1698,0.1213,1.0660,
7.668995,-0.0586,0.0399,0.9578,0.1698,0.1213,1.0660,
7.724300,-0.0233,0.0393,0.9596,0.1698,0.1213,1.0660,
7.726283,-0.0233,0.0393,0.9596,0.0395,0.1423,1.1146,
7.727743,-0.0233,0.0393,0.9596,0.0395,0.1423,1.1146,
7.783073,-0.0367,0.0556,0.9772,0.0395,0.1423,1.1146,
7.785307,-0.0367,0.0556,0.9772,-0.0605,0.1351,1.0650,
7.786488,-0.0367,0.0556,0.9772,-0.0605,0.1351,1.0650,
7.842190,-0.0111,0.1126,0.9450,-0.0605,0.1351,1.0650,
7.844067,-0.0111,0.1126,0.9450,-0.1539,0.2058,0.9948,
7.845549,-0.0111,0.1126,0.9450,-0.1539,0.2058,0.9948,
7.900515,-0.0096,0.1417,0.9731,-0.1539,0.2058,0.9948,
7.902528,-0.0096,0.1417,0.9731,-0.1539,0.2058,0.9948,
7.958361,-0.0096,0.1417,0.9731,-0.1382,0.0601,0.9246,
7.960520,0.0182,0.1702,0.9841,-0.1382,0.0601,0.9246,
